date,product,seller_id,listing_price,condition,days_on_market,location
2025-06-01,MacBook Air M2,S015,7526,new,22,Istanbul
2025-06-01,MacBook Air M2,S048,7492,used,19,Istanbul
2025-06-01,MacBook Air M2,S028,7534,new,3,Istanbul
2025-06-01,MacBook Air M2,S014,7581,new,20,Antalya
2025-06-01,MacBook Air M2,S002,7487,used,23,Ankara
2025-06-01,MacBook Air M2,S042,7487,used,14,Antalya
2025-06-01,MacBook Air M2,S015,7584,like_new,9,Antalya
2025-06-01,MacBook Air M2,S001,7541,new,11,Bursa
2025-06-01,MacBook Air M2,S018,7474,new,25,Ankara
2025-06-01,MacBook Air M2,S022,7529,new,13,Istanbul
2025-06-01,MacBook Air M2,S007,7475,like_new,20,Izmir
2025-06-01,MacBook Air M2,S017,7474,new,18,Bursa
2025-06-01,MacBook Air M2,S008,7513,like_new,18,Istanbul
2025-06-01,MacBook Air M2,S019,7397,used,29,Antalya
2025-06-01,MacBook Air M2,S024,7407,used,23,Ankara
2025-06-01,MacBook Air M2,S005,7469,new,25,Ankara
2025-06-01,MacBook Air M2,S019,7445,new,28,Ankara
2025-06-01,MacBook Air M2,S007,7516,like_new,15,Izmir
2025-06-01,MacBook Air M2,S041,7451,like_new,12,Ankara
2025-06-01,MacBook Air M2,S023,7424,new,23,Izmir
2025-06-01,MacBook Air M2,S044,7578,used,20,Istanbul
2025-06-01,MacBook Air M2,S041,7487,new,24,Antalya
2025-06-01,MacBook Air M2,S016,7503,new,13,Bursa
2025-06-01,MacBook Air M2,S018,7423,used,8,Antalya
2025-06-01,MacBook Air M2,S044,7470,like_new,8,Istanbul
2025-06-01,MacBook Air M2,S003,7505,like_new,9,Bursa
2025-06-01,MacBook Air M2,S005,7438,new,29,Antalya
2025-06-01,MacBook Air M2,S046,7520,like_new,21,Ankara
2025-06-01,MacBook Air M2,S032,7467,like_new,5,Bursa
2025-06-01,MacBook Air M2,S017,7484,new,24,Ankara
2025-06-02,MacBook Air M2,S017,7470,used,14,Antalya
2025-06-02,MacBook Air M2,S038,7602,like_new,8,Izmir
2025-06-02,MacBook Air M2,S009,7502,used,3,Bursa
2025-06-02,MacBook Air M2,S049,7446,new,5,Istanbul
2025-06-02,MacBook Air M2,S041,7547,new,20,Bursa
2025-06-02,MacBook Air M2,S005,7437,like_new,20,Bursa
2025-06-02,MacBook Air M2,S030,7514,used,18,Izmir
2025-06-02,MacBook Air M2,S001,7397,used,22,Istanbul
2025-06-02,MacBook Air M2,S035,7431,like_new,4,Izmir
2025-06-02,MacBook Air M2,S019,7513,like_new,15,Ankara
2025-06-02,MacBook Air M2,S001,7542,used,17,Izmir
